n,insertion_sort,quick_sort,merge_sort,heap_sort,composite_sort
500,0.229508,0.025277,0.015939,0.023034,0.256799
1000,0.801945,0.078516,0.033202,0.049653,0.055033
2000,1.421801,0.125574,0.073857,0.118752,0.129191
3000,2.850274,0.166391,0.061374,0.173473,0.208179
4000,19.918308,13.481617,0.141293,0.269202,0.445480
5000,24.335474,0.410786,0.147314,0.466870,0.947677
